"Notes"	"State of Residence"	"State of Residence Code"	"Month"	"Month Code"	"Year"	"Year Code"	Births
	"Alabama"	"01"	"January"	"1"	"2023"	"2023"	4996
	"Alabama"	"01"	"January"	"1"	"2024"	"2024"	4954
"Total"	"Alabama"	"01"	"January"	"1"			9950
	"Alabama"	"01"	"February"	"2"	"2023"	"2023"	4406
	"Alabama"	"01"	"February"	"2"	"2024"	"2024"	4474
"Total"	"Alabama"	"01"	"February"	"2"			8880
	"Alabama"	"01"	"March"	"3"	"2023"	"2023"	4911
"Total"	"Alabama"	"01"	"March"	"3"			4911
	"Alabama"	"01"	"April"	"4"	"2023"	"2023"	4377
"Total"	"Alabama"	"01"	"April"	"4"			4377
	"Alabama"	"01"	"May"	"5"	"2023"	"2023"	4639
"Total"	"Alabama"	"01"	"May"	"5"			4639
	"Alabama"	"01"	"June"	"6"	"2023"	"2023"	4824
"Total"	"Alabama"	"01"	"June"	"6"			4824
	"Alabama"	"01"	"July"	"7"	"2023"	"2023"	4899
"Total"	"Alabama"	"01"	"July"	"7"			4899
	"Alabama"	"01"	"August"	"8"	"2023"	"2023"	5159
"Total"	"Alabama"	"01"	"August"	"8"			5159
	"Alabama"	"01"	"September"	"9"	"2023"	"2023"	4992
"Total"	"Alabama"	"01"	"September"	"9"			4992
	"Alabama"	"01"	"October"	"10"	"2023"	"2023"	4956
"Total"	"Alabama"	"01"	"October"	"10"			4956
	"Alabama"	"01"	"November"	"11"	"2023"	"2023"	4838
"Total"	"Alabama"	"01"	"November"	"11"			4838
	"Alabama"	"01"	"December"	"12"	"2023"	"2023"	4826
"Total"	"Alabama"	"01"	"December"	"12"			4826
"Total"	"Alabama"	"01"					67251
	"Alaska"	"02"	"January"	"1"	"2023"	"2023"	759
	"Alaska"	"02"	"January"	"1"	"2024"	"2024"	754
"Total"	"Alaska"	"02"	"January"	"1"			1513
	"Alaska"	"02"	"February"	"2"	"2023"	"2023"	682
	"Alaska"	"02"	"February"	"2"	"2024"	"2024"	643
"Total"	"Alaska"	"02"	"February"	"2"			1325
	"Alaska"	"02"	"March"	"3"	"2023"	"2023"	758
"Total"	"Alaska"	"02"	"March"	"3"			758
	"Alaska"	"02"	"April"	"4"	"2023"	"2023"	712
"Total"	"Alaska"	"02"	"April"	"4"			712
	"Alaska"	"02"	"May"	"5"	"2023"	"2023"	767
"Total"	"Alaska"	"02"	"May"	"5"			767
	"Alaska"	"02"	"June"	"6"	"2023"	"2023"	776
"Total"	"Alaska"	"02"	"June"	"6"			776
	"Alaska"	"02"	"July"	"7"	"2023"	"2023"	771
"Total"	"Alaska"	"02"	"July"	"7"			771
	"Alaska"	"02"	"August"	"8"	"2023"	"2023"	738
"Total"	"Alaska"	"02"	"August"	"8"			738
	"Alaska"	"02"	"September"	"9"	"2023"	"2023"	776
"Total"	"Alaska"	"02"	"September"	"9"			776
	"Alaska"	"02"	"October"	"10"	"2023"	"2023"	753
"Total"	"Alaska"	"02"	"October"	"10"			753
	"Alaska"	"02"	"November"	"11"	"2023"	"2023"	770
"Total"	"Alaska"	"02"	"November"	"11"			770
	"Alaska"	"02"	"December"	"12"	"2023"	"2023"	748
"Total"	"Alaska"	"02"	"December"	"12"			748
"Total"	"Alaska"	"02"					10407
	"Arizona"	"04"	"January"	"1"	"2023"	"2023"	6573
	"Arizona"	"04"	"January"	"1"	"2024"	"2024"	6506
"Total"	"Arizona"	"04"	"January"	"1"			13079
	"Arizona"	"04"	"February"	"2"	"2023"	"2023"	6038
	"Arizona"	"04"	"February"	"2"	"2024"	"2024"	6103
"Total"	"Arizona"	"04"	"February"	"2"			12141
	"Arizona"	"04"	"March"	"3"	"2023"	"2023"	6434
"Total"	"Arizona"	"04"	"March"	"3"			6434
	"Arizona"	"04"	"April"	"4"	"2023"	"2023"	5976
"Total"	"Arizona"	"04"	"April"	"4"			5976
	"Arizona"	"04"	"May"	"5"	"2023"	"2023"	6173
"Total"	"Arizona"	"04"	"May"	"5"			6173
	"Arizona"	"04"	"June"	"6"	"2023"	"2023"	6175
"Total"	"Arizona"	"04"	"June"	"6"			6175
	"Arizona"	"04"	"July"	"7"	"2023"	"2023"	6604
"Total"	"Arizona"	"04"	"July"	"7"			6604
	"Arizona"	"04"	"August"	"8"	"2023"	"2023"	7166
"Total"	"Arizona"	"04"	"August"	"8"			7166
	"Arizona"	"04"	"September"	"9"	"2023"	"2023"	6882
"Total"	"Arizona"	"04"	"September"	"9"			6882
	"Arizona"	"04"	"October"	"10"	"2023"	"2023"	6843
"Total"	"Arizona"	"04"	"October"	"10"			6843
	"Arizona"	"04"	"November"	"11"	"2023"	"2023"	6596
"Total"	"Arizona"	"04"	"November"	"11"			6596
	"Arizona"	"04"	"December"	"12"	"2023"	"2023"	6640
"Total"	"Arizona"	"04"	"December"	"12"			6640
"Total"	"Arizona"	"04"					90709
	"Arkansas"	"05"	"January"	"1"	"2023"	"2023"	3006
	"Arkansas"	"05"	"January"	"1"	"2024"	"2024"	2988
"Total"	"Arkansas"	"05"	"January"	"1"			5994
	"Arkansas"	"05"	"February"	"2"	"2023"	"2023"	2682
	"Arkansas"	"05"	"February"	"2"	"2024"	"2024"	2751
"Total"	"Arkansas"	"05"	"February"	"2"			5433
	"Arkansas"	"05"	"March"	"3"	"2023"	"2023"	2856
"Total"	"Arkansas"	"05"	"March"	"3"			2856
	"Arkansas"	"05"	"April"	"4"	"2023"	"2023"	2666
"Total"	"Arkansas"	"05"	"April"	"4"			2666
	"Arkansas"	"05"	"May"	"5"	"2023"	"2023"	2887
"Total"	"Arkansas"	"05"	"May"	"5"			2887
	"Arkansas"	"05"	"June"	"6"	"2023"	"2023"	2940
"Total"	"Arkansas"	"05"	"June"	"6"			2940
	"Arkansas"	"05"	"July"	"7"	"2023"	"2023"	2992
"Total"	"Arkansas"	"05"	"July"	"7"			2992
	"Arkansas"	"05"	"August"	"8"	"2023"	"2023"	3197
"Total"	"Arkansas"	"05"	"August"	"8"			3197
	"Arkansas"	"05"	"September"	"9"	"2023"	"2023"	3031
"Total"	"Arkansas"	"05"	"September"	"9"			3031
	"Arkansas"	"05"	"October"	"10"	"2023"	"2023"	3130
"Total"	"Arkansas"	"05"	"October"	"10"			3130
	"Arkansas"	"05"	"November"	"11"	"2023"	"2023"	2945
"Total"	"Arkansas"	"05"	"November"	"11"			2945
	"Arkansas"	"05"	"December"	"12"	"2023"	"2023"	2947
"Total"	"Arkansas"	"05"	"December"	"12"			2947
"Total"	"Arkansas"	"05"					41018
	"California"	"06"	"January"	"1"	"2023"	"2023"	33786
	"California"	"06"	"January"	"1"	"2024"	"2024"	32726
