"State","Year","Month","Population","AbortionsPerThousandWomen","TreatedOriginal","Tau"
"Alabama",2022,4,1140289.70833131,0.570030576660384,"Control",0.0243168028541769
"Alaska",2022,4,159732.666667574,0.751255222262936,"Control",-0.126356991711699
"Arizona",2022,4,1625821.24999911,0.811897371867123,"Control",0.245124582445529
"Arkansas",2022,4,675417.124999268,0.429364298396068,"Control",-0.00900532961505923
"California",2022,4,9096312.37499584,1.50500548306052,"Control",-0.0320188329909123
"Colorado",2022,4,1371098.79166552,1.16694727595553,"Control",-0.0376318982840882
"Connecticut",2022,4,804144.374998723,1.11920200896938,"Control",-0.116027658055406
"Delaware",2022,4,215228.125001155,0.929246584287841,"Control",-0.237633072137515
"DC",2022,4,196779.499999937,4.72610205839682,"Control",0.210965671042046
"Florida",2022,4,4660461.00000052,1.29815483918851,"Control",-0.0223628551816839
"Georgia",2022,4,2582017.41666497,1.723458552711,"Control",0.0318347513623536
"Hawaii",2022,4,295892.124998415,0.811106412518702,"Control",-0.0724487608047116
"Idaho",2022,4,434400.416667437,0.506445186419849,"Control",0.00904833100046198
"Illinois",2022,4,2854937.41666736,1.97552491591347,"Control",-0.0331779553830853
"Indiana",2022,4,1528780.16666745,0.601786980272964,"Control",0.016517296696836
"Iowa",2022,4,693355.916666888,0.548059071633429,"Control",0.0009294879914854
"Kansas",2022,4,646386.999999525,1.50064899201363,"Control",0.016929386414235
"Kentucky",2022,4,985941.666666338,0.31442022432034,"Control",-0.0140227300606857
"Louisiana",2022,4,1043432.2083343,0.728365478782029,"Control",0.0233082886087989
"Maine",2022,4,281965.499999994,0.673841303280026,"Control",-0.104416180568589
"Maryland",2022,4,1390555.66666588,2.05673175735379,"Control",-0.00223874487792841
"Massachusetts",2022,4,1611563.2500005,1.0672866857689,"Control",0.00636347196924514
"Michigan",2022,4,2175020.75000066,1.19998855183299,"Control",-0.0184711109523583
"Minnesota",2022,4,1254746.83333356,0.741185373251122,"Control",-0.0111093931934982
"Mississippi",2022,4,667179.291666976,0.524596617987812,"Control",-0.0291766229284682
"Missouri",2022,4,1365245.0833326,0.00732469219049645,"Control",9.16933513988444e-07
"Montana",2022,4,237252.541667769,0.716536053965886,"Control",-0.00847353806262752
"Nebraska",2022,4,433668.124999182,0.461182153980944,"Control",0.00141386061365412
"Nevada",2022,4,715001.458332915,1.5944023424204,"Control",-0.108190514087323
"New Hampshire",2022,4,290406.208333206,0.79199408759231,"Control",0.014875399567471
"New Jersey",2022,4,2039088.1249997,2.24610204132334,"Control",-0.177046717933181
"New Mexico",2022,4,462118.875000898,2.6400133515378,"Control",-0.0601666648018302
"New York",2022,4,4465829.41666747,2.15861357445078,"Control",-0.0948052833709037
"North Carolina",2022,4,2418596.54166686,1.63317855291305,"Control",0.0520040163768987
"North Dakota",2022,4,170955.166667395,0.526453816836675,"Control",-0.063423693266846
"Ohio",2022,4,2564767.45833245,0.795393747441867,"Control",0.0174391755861295
"Oklahoma",2022,4,905994.541667554,0.529804516389825,"Control",0.168399318419781
"Oregon",2022,4,960529.874999839,0.874517307439439,"Control",-0.0327457802795872
"Pennsylvania",2022,4,2807280.49999948,1.04015256045861,"Control",0.0212067719039533
"Rhode Island",2022,4,245977.500000409,1.26027787094139,"Control",0.183523626403414
"South Carolina",2022,4,1157762.5416678,0.595977132759909,"Control",0.0396399841505268
"South Dakota",2022,4,189564.500002148,0.105504986428225,"Control",-0.0316425874389748
"Tennessee",2022,4,1590309.08333265,0.748282212855275,"Control",0.011368686648109
"Texas",2022,4,7159034.33332947,0.445590822933855,"Control",0.0197428392459968
"Utah",2022,4,838210.708333921,0.381765583305481,"Control",-0.0123134905788815
"Vermont",2022,4,137540.583333439,0.799763948458236,"Control",-0.062305810914711
"Virginia",2022,4,1955311.66666605,1.08934040353362,"Control",-0.0337228505403486
"Washington",2022,4,1771575.66666758,1.00475527717552,"Control",-0.013970912388054
"West Virginia",2022,4,366561.375001204,0.46376953927413,"Control",-0.0582742926250187
"Wisconsin",2022,4,1266466.16666643,0.465863214927398,"Control",0.00370768103489272
"Wyoming",2022,4,123894.791666246,0.322854572513055,"Control",-0.0129329194269432
"Alabama",2022,5,1140650.08333119,0.543549690707366,"Control",0.0163857660275848
"Alaska",2022,5,159722.666667655,0.813910778678014,"Control",-0.062816801004432
"Arizona",2022,5,1627905.16666571,0.90300100405165,"Control",0.348157654832487
"Arkansas",2022,5,675779.249999216,0.503122876294877,"Control",0.0462631177375488
"California",2022,5,9090289.41666217,1.50490258043105,"Control",-0.0280365979916402
"Colorado",2022,5,1371926.91666542,1.23184404319997,"Control",-0.00578794903046553
"Connecticut",2022,5,804602.749998619,1.15584988990107,"Control",-0.0791820608625984
"Delaware",2022,5,215398.250001244,1.02136391543909,"Control",-0.150927177107871
"DC",2022,5,196975.666666617,4.518324598471,"Control",0.0225266676760869
"Florida",2022,5,4665559.3333339,1.30745309708473,"Control",-0.0273883338168901
"Georgia",2022,5,2583723.16666488,1.60620923075009,"Control",-0.0461240939727259
"Hawaii",2022,5,295729.916664962,0.71010739247566,"Control",-0.166236006051865
"Idaho",2022,5,435319.833334165,0.505375549547088,"Control",0.00515634169938739
"Illinois",2022,5,2852577.83333409,1.96664221899356,"Control",-0.0591909079216442
"Indiana",2022,5,1529186.00000083,0.555851282969853,"Control",-0.0117399039058244
"Iowa",2022,5,693548.833333574,0.53348802884085,"Control",-0.0104687671673066
"Kansas",2022,5,646472.666666155,1.46951301885527,"Control",0.00101551055689453
"Kentucky",2022,5,985850.666666316,0.385453915941429,"Control",0.0361813184533704
"Louisiana",2022,5,1042739.75000103,0.776799771946167,"Control",0.0761100394730034
"Maine",2022,5,282185.999999994,0.81506524065689,"Control",0.0283987121793615
"Maryland",2022,5,1390141.3333325,2.05015125560498,"Control",-0.00888833002609601
"Massachusetts",2022,5,1611308.50000053,0.98677565469274,"Control",-0.0701925606980283
"Michigan",2022,5,2174328.16666738,1.18197429412832,"Control",-0.04364753767207
"Minnesota",2022,5,1254809.33333358,0.733179117783486,"Control",-0.0239372472142796
"Mississippi",2022,5,666998.250000333,0.524739007935666,"Control",-0.0455438075351006
"Missouri",2022,5,1365559.49999921,0.00732300569840112,"Control",5.49221348998888e-08
"Montana",2022,5,237738.750001181,0.757133618306255,"Control",0.0199599290816791
"Nebraska",2022,5,433772.583332451,0.438017540298024,"Control",-0.0167428003220296
"Nevada",2022,5,715591.916666215,1.55116341331977,"Control",-0.156295772009198
"New Hampshire",2022,5,290392.416666527,0.688723219069699,"Control",-0.0813699117371715
"New Jersey",2022,5,2038659.583333,2.2318586375079,"Control",-0.181373986601028
"New Mexico",2022,5,462200.75000097,2.59627445433068,"Control",-0.129949811138746
"New York",2022,5,4459513.16666751,2.27603319480383,"Control",0.012901848553792
"North Carolina",2022,5,2420964.75000019,1.63571154846418,"Control",0.0834570739701284
"North Dakota",2022,5,171039.666667452,0.643125668701578,"Control",-0.00378395896008765
"Ohio",2022,5,2564150.91666572,0.776085364970518,"Control",0.0114917452532448
"Oklahoma",2022,5,906810.083334283,0.154387343692991,"Control",-0.0436625754706832
"Oregon",2022,5,960555.083333164,0.832851768608593,"Control",-0.0680783940631583
"Pennsylvania",2022,5,2807341.99999944,0.943953390787629,"Control",-0.0455312939901467
"Rhode Island",2022,5,245910.000000447,1.17929323736112,"Control",0.104601744278987
"South Carolina",2022,5,1159056.75000122,0.543545430367701,"Control",0.0191306026403589
"South Dakota",2022,5,189832.000002314,0.21071263011248,"Control",0.0365712032720254
"Tennessee",2022,5,1591456.16666593,0.766593529594895,"Control",0.0327755904388334
"Texas",2022,5,7167946.99999585,0.417134780712208,"Control",0.00761142757476235
"Utah",2022,5,839517.75000064,0.476464017585924,"Control",0.0684631793053128
"Vermont",2022,5,137589.83333345,0.872157463183918,"Control",0.0122899819537728
"Virginia",2022,5,1955399.33333267,1.11486178952743,"Control",-0.0318910310672063
"Washington",2022,5,1772348.00000099,0.976106272582493,"Control",-0.0428815981585607
"West Virginia",2022,5,366399.083334634,0.627730828108923,"Control",0.042971271932478
"Wisconsin",2022,5,1266415.66666641,0.48957069650917,"Control",0.0252020465089542
"Wyoming",2022,5,123967.583332883,0.322664997772767,"Control",-0.0203946631204363
"Alabama",2022,6,1141010.45833107,0.455736401190041,"Control",-0.0407025688817612
"Alaska",2022,6,159712.666667736,0.876574181127751,"Control",-0.0254468426140951
"Arizona",2022,6,1629989.08333231,0.717796218369809,"Control",0.167026257335302
"Arkansas",2022,6,676141.374999164,0.384534965043844,"Control",-0.0372577881224893
"California",2022,6,9084266.45832849,1.57745262820447,"Control",0.0215152113494237
"Colorado",2022,6,1372755.04166533,1.3112317532022,"Control",0.043419847314554
"Connecticut",2022,6,805061.124998516,1.1800346215969,"Control",-0.0958419048907715
"Delaware",2022,6,215568.375001334,1.15972484367641,"Control",-0.0468418714348711
"DC",2022,6,197171.833333297,4.5138293079395,"Control",-0.0123173809527097
"Florida",2022,6,4670657.6666673,1.42378236098495,"Control",0.0497511889985738
"Georgia",2022,6,2585428.9166648,1.68637395980873,"Control",0.0142893426103718
"Hawaii",2022,6,295567.708331507,0.845829882470114,"Control",-0.0554758729639848
"Idaho",2022,6,436239.250000895,0.550156823347527,"Control",0.051600565329796
"Illinois",2022,6,2850218.25000081,2.19281453271104,"Control",0.0923688633047286
"Indiana",2022,6,1529591.83333422,0.562241495579487,"Control",-0.00477739279101153
"Iowa",2022,6,693741.750000261,0.562168847413109,"Control",0.0095392791758212
"Kansas",2022,6,646558.333332786,1.43838529650708,"Control",-0.0179448969711298
"Kentucky",2022,6,985759.666666295,0.30433381496989,"Control",-0.0221585883926847
"Louisiana",2022,6,1042047.29166775,0.518210645829474,"Control",-0.0994183280818028
"Maine",2022,6,282406.499999994,0.849838796203362,"Control",0.0556578697051477
"Maryland",2022,6,1389726.99999911,2.07954511929455,"Control",0.0111270749040253
"Massachusetts",2022,6,1611053.75000056,1.05520998290678,"Control",-0.0175403472220612
"Michigan",2022,6,2173635.5833341,1.33877086955689,"Control",0.0621186486244285
"Minnesota",2022,6,1254871.8333336,0.820800955635269,"Control",0.0350466404077777
"Mississippi",2022,6,666817.20833369,0.704840838127863,"Control",0.0747204304635692
"Missouri",2022,6,1365873.91666582,0.0073213199827482,"Control",-9.71855648888333e-07
"Montana",2022,6,238224.958334594,0.713611206770494,"Control",-0.0114863910190512
"Nebraska",2022,6,433877.041665721,0.484008094076095,"Control",0.0153289397083754
"Nevada",2022,6,716182.374999517,1.87103180248034,"Control",0.0627157497111659
"New Hampshire",2022,6,290378.624999848,0.757631523326191,"Control",-0.0297491501355187
"New Jersey",2022,6,2038231.04166629,2.26667139571334,"Control",-0.206378604895985
"New Mexico",2022,6,462282.625001042,3.07171397583199,"Control",0.190116475940575
"New York",2022,6,4453196.91666753,2.42971514677526,"Control",0.144699991970206
"North Carolina",2022,6,2423332.95833352,1.30811574575371,"Control",-0.135461090347025
"North Dakota",2022,6,171124.166667509,0.759682296963861,"Control",0.0672076522269336
"Ohio",2022,6,2563534.37499898,0.713858186512801,"Control",-0.0289309208393739
"Oklahoma",2022,6,907625.625001013,0,"Control",-0.124736742949097
"Oregon",2022,6,960580.291666489,0.947344025163437,"Control",0.00548028628453157
"Pennsylvania",2022,6,2807403.49999941,1.04010698853963,"Control",0.0243245220861936
"Rhode Island",2022,6,245842.500000485,1.05758768316905,"Control",0.00189065831808333
"South Carolina",2022,6,1160350.95833464,0.422286030343147,"Control",-0.058770586790885
"South Dakota",2022,6,190099.500002481,0.157812093138638,"Control",-0.00492861583305074
"Tennessee",2022,6,1592603.24999922,0.653018885903008,"Control",-0.0441442770869415
"Texas",2022,6,7176859.66666225,0.362275440897562,"Control",-0.0273542668207592
"Utah",2022,6,840824.791667362,0.428151029284136,"Control",0.0310025439584092
"Vermont",2022,6,137639.083333462,0.871845387906811,"Control",-0.00629184316414289
"Virginia",2022,6,1955486.9999993,1.26311246252258,"Control",0.0656138816075553
"Washington",2022,6,1773120.3333344,1.1053959300744,"Control",0.0609282538661631
"West Virginia",2022,6,366236.791668063,0.600704257477758,"Control",0.0153030206925406
"Wisconsin",2022,6,1266365.1666664,0.410624055120576,"Control",-0.0289097275438468
"Wyoming",2022,6,124040.37499952,0.403094556914983,"Control",0.0333275825473792
"Alabama",2022,7,1141370.83333094,0,"Ban",-0.505769388700564
"Alaska",2022,7,159702.666667817,0.688779982796413,"Control",-0.184486271967565
"Arizona",2022,7,1632072.9999989,0.128670715096777,"Control",-0.435464585645524
"Arkansas",2022,7,676503.499999111,0,"Ban",-0.423937585673415
"California",2022,7,9078243.49999482,1.53994547513602,"Control",-0.0146396284489025
"Colorado",2022,7,1373583.16666524,1.43420511244523,"Neighbor",0.178738376504717
"Connecticut",2022,7,805519.499998412,1.20419182900217,"Control",-0.0530418259198784
"Delaware",2022,7,215738.500001423,1.06610549344916,"Control",-0.110125870948685
"DC",2022,7,197367.999999977,4.56000972802129,"Control",0.0193612085683155
"Florida",2022,7,4675756.00000068,1.40939775300487,"Neighbor",0.0452655985947434
"Georgia",2022,7,2587134.66666471,1.67366625935331,"Neighbor",-0.0034018547586685
"Hawaii",2022,7,295405.499998054,0.710887238055431,"Control",-0.168135650658191
"Idaho",2022,7,437158.666667623,0.457499794124092,"Control",-0.0372074715299238
"Illinois",2022,7,2847858.66666754,2.40882740435547,"Neighbor",0.325053975663832
"Indiana",2022,7,1529997.6666676,0.718955344811632,"Neighbor",0.148046146340279
"Iowa",2022,7,693934.666666946,0.518780826629003,"Neighbor",-0.0330180541251819
"Kansas",2022,7,646643.999999415,1.43819474084789,"Neighbor",-0.0235191783121791
"Kentucky",2022,7,985668.666666273,0.284071117880835,"Neighbor",-0.0419238422102542
