"State","Abortions","Year","Month","Population","AbortionsPerThousandWomen"
"Alabama",650,2022,"Apr",1140289.70833131,0.570030576660384
"Alaska",120,2022,"Apr",159732.666667574,0.751255222262936
"Arizona",1320,2022,"Apr",1625821.24999911,0.811897371867123
"Arkansas",290,2022,"Apr",675417.124999268,0.429364298396068
"California",13690,2022,"Apr",9096312.37499584,1.50500548306052
"Colorado",1600,2022,"Apr",1371098.79166552,1.16694727595553
"Connecticut",900,2022,"Apr",804144.374998723,1.11920200896938
"Delaware",200,2022,"Apr",215228.125001155,0.929246584287841
"DC",930,2022,"Apr",196779.499999937,4.72610205839682
"Florida",6050,2022,"Apr",4660461.00000052,1.29815483918851
"Georgia",4450,2022,"Apr",2582017.41666497,1.723458552711
"Hawaii",240,2022,"Apr",295892.124998415,0.811106412518702
"Idaho",220,2022,"Apr",434400.416667437,0.506445186419849
"Illinois",5640,2022,"Apr",2854937.41666736,1.97552491591347
"Indiana",920,2022,"Apr",1528780.16666745,0.601786980272964
"Iowa",380,2022,"Apr",693355.916666888,0.548059071633429
"Kansas",970,2022,"Apr",646386.999999525,1.50064899201363
"Kentucky",310,2022,"Apr",985941.666666338,0.31442022432034
"Louisiana",760,2022,"Apr",1043432.2083343,0.728365478782029
"Maine",190,2022,"Apr",281965.499999994,0.673841303280026
"Maryland",2860,2022,"Apr",1390555.66666588,2.05673175735379
"Massachusetts",1720,2022,"Apr",1611563.2500005,1.0672866857689
"Michigan",2610,2022,"Apr",2175020.75000066,1.19998855183299
"Minnesota",930,2022,"Apr",1254746.83333356,0.741185373251122
"Mississippi",350,2022,"Apr",667179.291666976,0.524596617987812
"Missouri",10,2022,"Apr",1365245.0833326,0.00732469219049645
"Montana",170,2022,"Apr",237252.541667769,0.716536053965886
"Nebraska",200,2022,"Apr",433668.124999182,0.461182153980944
"Nevada",1140,2022,"Apr",715001.458332915,1.5944023424204
"New Hampshire",230,2022,"Apr",290406.208333206,0.79199408759231
"New Jersey",4580,2022,"Apr",2039088.1249997,2.24610204132334
"New Mexico",1220,2022,"Apr",462118.875000898,2.6400133515378
"New York",9640,2022,"Apr",4465829.41666747,2.15861357445078
"North Carolina",3950,2022,"Apr",2418596.54166686,1.63317855291305
"North Dakota",90,2022,"Apr",170955.166667395,0.526453816836675
"Ohio",2040,2022,"Apr",2564767.45833245,0.795393747441867
"Oklahoma",480,2022,"Apr",905994.541667554,0.529804516389825
"Oregon",840,2022,"Apr",960529.874999839,0.874517307439439
"Pennsylvania",2920,2022,"Apr",2807280.49999948,1.04015256045861
"Rhode Island",310,2022,"Apr",245977.500000409,1.26027787094139
"South Carolina",690,2022,"Apr",1157762.5416678,0.595977132759909
"South Dakota",20,2022,"Apr",189564.500002148,0.105504986428225
"Tennessee",1190,2022,"Apr",1590309.08333265,0.748282212855275
"Texas",3190,2022,"Apr",7159034.33332947,0.445590822933855
"Utah",320,2022,"Apr",838210.708333921,0.381765583305481
"Vermont",110,2022,"Apr",137540.583333439,0.799763948458236
"Virginia",2130,2022,"Apr",1955311.66666605,1.08934040353362
"Washington",1780,2022,"Apr",1771575.66666758,1.00475527717552
"West Virginia",170,2022,"Apr",366561.375001204,0.46376953927413
"Wisconsin",590,2022,"Apr",1266466.16666643,0.465863214927398
"Wyoming",40,2022,"Apr",123894.791666246,0.322854572513055
"Telehealth",3650,2022,"Apr",75030403.3749939,0.0486469462486786
"Alabama",620,2022,"May",1140650.08333119,0.543549690707366
"Alaska",130,2022,"May",159722.666667655,0.813910778678014
"Arizona",1470,2022,"May",1627905.16666571,0.90300100405165
"Arkansas",340,2022,"May",675779.249999216,0.503122876294877
"California",13680,2022,"May",9090289.41666217,1.50490258043105
"Colorado",1690,2022,"May",1371926.91666542,1.23184404319997
"Connecticut",930,2022,"May",804602.749998619,1.15584988990107
"Delaware",220,2022,"May",215398.250001244,1.02136391543909
"DC",890,2022,"May",196975.666666617,4.518324598471
"Florida",6100,2022,"May",4665559.3333339,1.30745309708473
"Georgia",4150,2022,"May",2583723.16666488,1.60620923075009
"Hawaii",210,2022,"May",295729.916664962,0.71010739247566
"Idaho",220,2022,"May",435319.833334165,0.505375549547088
"Illinois",5610,2022,"May",2852577.83333409,1.96664221899356
"Indiana",850,2022,"May",1529186.00000083,0.555851282969853
"Iowa",370,2022,"May",693548.833333574,0.53348802884085
"Kansas",950,2022,"May",646472.666666155,1.46951301885527
"Kentucky",380,2022,"May",985850.666666316,0.385453915941429
"Louisiana",810,2022,"May",1042739.75000103,0.776799771946167
"Maine",230,2022,"May",282185.999999994,0.81506524065689
"Maryland",2850,2022,"May",1390141.3333325,2.05015125560498
"Massachusetts",1590,2022,"May",1611308.50000053,0.98677565469274
"Michigan",2570,2022,"May",2174328.16666738,1.18197429412832
"Minnesota",920,2022,"May",1254809.33333358,0.733179117783486
"Mississippi",350,2022,"May",666998.250000333,0.524739007935666
"Missouri",10,2022,"May",1365559.49999921,0.00732300569840112
"Montana",180,2022,"May",237738.750001181,0.757133618306255
"Nebraska",190,2022,"May",433772.583332451,0.438017540298024
"Nevada",1110,2022,"May",715591.916666215,1.55116341331977
"New Hampshire",200,2022,"May",290392.416666527,0.688723219069699
