"State","Month","Year","Abortions","Population","AbortionsPerThousandWomen"
"Alaska","Jan",2023,120,159642.666668301,0.751678749198866
"Alaska","Feb",2023,130,159632.666668382,0.814369656995456
"Alaska","Mar",2023,130,159622.666668463,0.814420675417051
"Alaska","Apr",2023,100,159612.666668543,0.626516692485711
"Alaska","May",2023,150,159602.666668624,0.939833920892051
"Alaska","Jun",2023,130,159592.666668705,0.814573769043313
"Alaska","Jul",2023,140,159582.666668786,0.877288260200405
"Alaska","Aug",2023,140,159572.666668866,0.877343237551566
"Alaska","Sep",2023,110,159562.666668947,0.689384317123646
"Alaska","Oct",2023,150,159552.666669028,0.940128442423068
"Alaska","Nov",2023,130,159542.666669108,0.814829053030811
"Alaska","Dec",2023,100,159532.666669189,0.626830868485151
"Arizona","Jan",2023,970,1644576.49999848,0.589817500128999
"Arizona","Feb",2023,830,1646660.41666507,0.504050496143566
"Arizona","Mar",2023,1020,1648744.33333167,0.618652619074574
"Arizona","Apr",2023,930,1650828.24999826,0.563353577212516
"Arizona","May",2023,940,1652912.16666486,0.568693254824709
"Arizona","Jun",2023,970,1654996.08333146,0.586104106087924
"Arizona","Jul",2023,1060,1657079.99999805,0.639679436117294
"Arizona","Aug",2023,1120,1659163.91666465,0.67503878836245
"Arizona","Sep",2023,1120,1661247.83333125,0.674192000451914
"Arizona","Oct",2023,1090,1663331.74999784,0.655311245036605
"Arizona","Nov",2023,990,1665415.66666443,0.594446191311995
"Arizona","Dec",2023,900,1667499.58333103,0.539730269798413
"California","Jan",2023,15980,9042105.74999277,1.76728744850311
"California","Feb",2023,14150,9036082.7916591,1.56594404082501
"California","Mar",2023,16140,9030059.83332542,1.7873635721034
"California","Apr",2023,14840,9024036.87499175,1.64449682615172
"California","May",2023,15710,9018013.91665808,1.74206872435409
"California","Jun",2023,15130,9011990.9583244,1.67887429869472
"California","Jul",2023,14250,9005967.99999073,1.58228410316522
"California","Aug",2023,15510,8999945.04165706,1.72334385690252
"California","Sep",2023,14120,8993922.08332338,1.56994911332192
"California","Oct",2023,14150,8987899.12498971,1.57433898658895
"California","Nov",2023,13840,8981876.16665604,1.54088074063847
"California","Dec",2023,14630,8975853.20832235,1.62992861630526
"Colorado","Jan",2023,2200,1378551.91666469,1.59587750987482
"Colorado","Feb",2023,2030,1379380.0416646,1.47167563592573
"Colorado","Mar",2023,2270,1380208.16666451,1.64467944388839
"Colorado","Apr",2023,2040,1381036.29166441,1.47715162325054
"Colorado","May",2023,2230,1381864.41666432,1.61376179392693
"Colorado","Jun",2023,2140,1382692.54166423,1.54770488414168
"Colorado","Jul",2023,2040,1383520.66666414,1.47449911602602
"Colorado","Aug",2023,2110,1384348.79166404,1.52418235397431
"Colorado","Sep",2023,1860,1385176.91666395,1.34278876410936
"Colorado","Oct",2023,1990,1386005.04166386,1.43578121304022
"Colorado","Nov",2023,1970,1386833.16666377,1.42050251418426
"Colorado","Dec",2023,1800,1387661.29166368,1.2971465088876
"Connecticut","Jan",2023,1220,808269.749997791,1.50939707938264
"Connecticut","Feb",2023,1110,808728.124997687,1.37252553199281
"Connecticut","Mar",2023,1380,809186.499997584,1.70541648928167
"Connecticut","Apr",2023,1190,809644.87499748,1.46978019221539
"Connecticut","May",2023,1200,810103.249997376,1.48129266239073
"Connecticut","Jun",2023,1140,810561.624997274,1.4064322376523
"Connecticut","Jul",2023,1150,811019.99999717,1.41796749772387
"Connecticut","Aug",2023,1270,811478.374997066,1.56504478631928
"Connecticut","Sep",2023,1150,811936.749996963,1.41636648421728
"Connecticut","Oct",2023,1280,812395.124996859,1.57558798744016
"Connecticut","Nov",2023,1180,812853.499996755,1.45167610154193
"Connecticut","Dec",2023,1260,813311.874996652,1.54922120128295
"DC","Jan",2023,810,198545.000000057,4.07967966959515
"DC","Feb",2023,760,198741.166666736,3.82406932970472
"DC","Mar",2023,930,198937.333333417,4.67483897776659
"DC","Apr",2023,810,199133.500000096,4.06762297654392
"DC","May",2023,830,199329.666666776,4.16395619317184
"DC","Jun",2023,750,199525.833333456,3.75891175327942
"DC","Jul",2023,800,199722.000000136,4.0055677391547
"DC","Aug",2023,800,199918.166666816,4.00163733660724
"DC","Sep",2023,660,200114.333333496,3.29811457783032
"DC","Oct",2023,680,200310.500000176,3.39472968216545
"DC","Nov",2023,650,200506.666666856,3.24178747173521
"DC","Dec",2023,660,200702.833333536,3.28844386019796
"Delaware","Jan",2023,290,216759.250001959,1.337889847826
"Delaware","Feb",2023,260,216929.375002049,1.19854676203969
"Delaware","Mar",2023,320,217099.500002138,1.47397852135472
"Delaware","Apr",2023,280,217269.625002228,1.28872132953297
"Delaware","May",2023,310,217439.750002317,1.42568228668722
"Delaware","Jun",2023,310,217609.875002406,1.42456770400044
"Delaware","Jul",2023,280,217780.000002496,1.2857011662999
"Delaware","Aug",2023,320,217950.125002585,1.4682258154071
"Delaware","Sep",2023,260,218120.250002674,1.1920030350085
"Delaware","Oct",2023,270,218290.375002764,1.23688458548198
"Delaware","Nov",2023,290,218460.500002853,1.32747109887697
"Delaware","Dec",2023,270,218630.625002943,1.23495964939206
"Florida","Jan",2023,7320,4706346.000001,1.5553467594602
"Florida","Feb",2023,6850,4711444.33333438,1.45390659750237
"Florida","Mar",2023,8070,4716542.66666777,1.71099904534553
"Florida","Apr",2023,7290,4721641.00000116,1.54395473946414
"Florida","May",2023,7080,4726739.33333454,1.49786131637712
"Florida","Jun",2023,7220,4731837.66666793,1.52583425480954
"Florida","Jul",2023,7190,4736936.00000132,1.517858801554
"Florida","Aug",2023,7350,4742034.3333347,1.54996768967536
"Florida","Sep",2023,7350,4747132.66666809,1.54830305283185
"Florida","Oct",2023,7150,4752231.00000147,1.50455649146638
"Florida","Nov",2023,6680,4757329.33333486,1.40414916268102
"Florida","Dec",2023,6760,4762427.66666825,1.41944413083952
"Georgia","Jan",2023,2750,2597369.16666419,1.05876362717119
"Georgia","Feb",2023,2490,2599074.9166641,0.958033177125921
"Georgia","Mar",2023,3090,2600780.66666402,1.18810480237978
"Georgia","Apr",2023,2550,2602486.41666393,0.979832203415988
"Georgia","May",2023,2570,2604192.16666385,0.986870336566734
"Georgia","Jun",2023,2510,2605897.91666376,0.963199664863873
"Georgia","Jul",2023,2860,2607603.66666367,1.09679244455859
"Georgia","Aug",2023,2860,2609309.41666359,1.09607545266018
"Georgia","Sep",2023,2820,2611015.1666635,1.08003968571487
"Georgia","Oct",2023,2710,2612720.91666341,1.0372328642972
"Georgia","Nov",2023,2830,2614426.66666333,1.08245529931494
"Georgia","Dec",2023,2520,2616132.41666324,0.96325399431201
"Hawaii","Jan",2023,340,294432.249997331,1.15476480583592
"Hawaii","Feb",2023,310,294270.041663877,1.05345416151499
"Hawaii","Mar",2023,330,294107.833330423,1.1220374386603
"Hawaii","Apr",2023,350,293945.62499697,1.19069640857423
"Hawaii","May",2023,350,293783.416663516,1.19135383465457
"Hawaii","Jun",2023,320,293621.208330062,1.08983953107463
"Hawaii","Jul",2023,320,293458.999996608,1.09044193568334
"Hawaii","Aug",2023,330,293296.791663155,1.12514016307072
"Hawaii","Sep",2023,300,293134.583329701,1.02342069841202
"Hawaii","Oct",2023,340,292972.374996247,1.1605189738601
"Hawaii","Nov",2023,310,292810.166662793,1.05870640877372
"Hawaii","Dec",2023,280,292647.958329339,0.95678097875159
"Iowa","Jan",2023,410,695092.166667063,0.589849835261319
"Iowa","Feb",2023,340,695285.083333749,0.489008045979888
"Iowa","Mar",2023,410,695478.000000435,0.589522601721037
"Iowa","Apr",2023,260,695670.916667121,0.373739930433818
"Iowa","May",2023,270,695863.833333806,0.388006944845028
"Iowa","Jun",2023,300,696056.750000493,0.430999340211538
