"State","Year","Month","Population","BirthsPerThousandWomen","TreatedOriginal","Tau"
"Alabama",2020,1,1130559.58333466,4.38278536844994,"Control",0.0570575484786975
"Alaska",2020,1,160002.666665394,5.11241479312743,"Control",0.130908992322319
"Arizona",2020,1,1569555.50000102,4.27063585836605,"Control",0.129492233841483
"Arkansas",2020,1,665639.750000683,4.44084055977271,"Control",-0.0406748498275906
"California",2020,1,9258932.25000504,3.88316914188247,"Control",0.0192747898871799
"Colorado",2020,1,1348739.416668,3.69530239748812,"Control",-0.0178229384320661
"Connecticut",2020,1,791768.25000152,3.53007335163368,"Control",0.0241753555828961
"Delaware",2020,1,210634.749998743,3.94047041148222,"Control",-0.0960115963405315
"DC",2020,1,191482.999999579,4.14135980740715,"Control",0.321230762125363
"Florida",2020,1,4522805.99999909,4.02272394615283,"Control",0.0566122720442195
"Georgia",2020,1,2535962.1666673,4.2003781207819,"Control",0.0884387702991374
"Hawaii",2020,1,300271.750001667,4.49592743903649,"Control",0.0363224562757845
"Idaho",2020,1,409576.166665761,4.14574904058241,"Control",-0.125034703893891
"Illinois",2020,1,2918646.16666573,3.81032827035168,"Control",0.0219747678373738
"Indiana",2020,1,1517822.66666602,4.35360476893842,"Control",0.00355083221484431
"Iowa",2020,1,688147.166666366,4.4103938038467,"Control",0.0230731228029839
"Kansas",2020,1,644074.000000516,4.31627421693435,"Control",-0.0891359677252179
"Kentucky",2020,1,988398.666666917,4.35957690486455,"Control",-0.0400203962432144
"Louisiana",2020,1,1062128.58333264,4.72635806885901,"Control",0.11083246258308
"Maine",2020,1,276011.99999999,3.19189020767224,"Control",-0.116513133795495
"Maryland",2020,1,1401742.66666739,4.19192490870672,"Control",0.0791976963972658
"Massachusetts",2020,1,1618441.49999976,3.38597348127863,"Control",0.00341188285712546
"Michigan",2020,1,2193720.49999925,3.94398465985205,"Control",0.0287381577576666
"Minnesota",2020,1,1253059.33333308,4.01497348622573,"Control",-0.0478200005753342
"Mississippi",2020,1,672067.416666337,4.62899989324215,"Control",0.138821873466637
"Missouri",2020,1,1356755.83333422,4.28890730154432,"Control",0.0113962909928187
"Montana",2020,1,224124.916665643,3.85945486503153,"Control",-0.00943007679785834
"Nebraska",2020,1,430847.750000902,4.75806128730092,"Control",0.103318955202825
"Nevada",2020,1,699059.083333806,3.94959462772849,"Control",-0.0315406704791914
"New Hampshire",2020,1,290778.58333354,3.13296801145437,"Control",-0.0337099536650562
"New Jersey",2020,1,2050658.75000062,3.97969676817146,"Control",-0.0179754741845501
"New Mexico",2020,1,459908.24999895,3.94861366371259,"Control",-0.0125457219459779
"New York",2020,1,4636368.16666661,3.87825111242788,"Control",0.0713800238436568
"North Carolina",2020,1,2354654.91666696,4.17513408457995,"Control",-0.0107739108314631
"North Dakota",2020,1,168673.666665853,4.76067198794442,"Control",-0.109596874549243
"Ohio",2020,1,2581414.08333425,4.12990696410467,"Control",-0.029759011802569
"Oklahoma",2020,1,883974.916665866,4.5985467724946,"Control",0.0346324519824934
"Oregon",2020,1,959849.250000073,3.37448823343848,"Control",-0.043620295246483
"Pennsylvania",2020,1,2805620.00000046,3.87614858747735,"Control",0.00460119265751269
"Rhode Island",2020,1,247799.999999382,3.32526230832145,"Control",-0.0441921891118633
"South Carolina",2020,1,1122818.91666553,4.19212744827859,"Control",-0.0253368367962672
"South Dakota",2020,1,182341.999997659,4.9906220180303,"Control",0.0603237417043285
"Tennessee",2020,1,1559337.83333402,4.22102244895004,"Control",-0.0683773114168664
"Texas",2020,1,6918392.33333707,4.55510449272242,"Control",0.0597937655269742
"Utah",2020,1,802920.583332483,4.58575863719676,"Control",0.00566625124239906
"Vermont",2020,1,136210.833333125,3.12750454259501,"Control",0.0397639458466332
"Virginia",2020,1,1952944.66666725,4.04210120989824,"Control",-0.00323928635670967
"Washington",2020,1,1750722.6666656,3.89839015050785,"Control",-0.00532927318345378
"West Virginia",2020,1,370943.249998612,4.0760951978656,"Control",0.149548846758615
"Wisconsin",2020,1,1267829.66666684,3.88459122663375,"Control",-0.0382276059701199
"Wyoming",2020,1,121929.416667048,4.07612874387119,"Control",0.0327031444336381
"Alabama",2020,2,1130919.95833454,3.93396541215161,"Control",-0.0631098481176515
"Alaska",2020,2,159992.666665475,4.48145540007254,"Control",-0.0894677843596474
"Arizona",2020,2,1571639.41666761,3.99200982964841,"Control",0.104507302315346
"Arkansas",2020,2,666001.87500063,4.14413247710059,"Control",-0.0551518351908324
"California",2020,2,9252909.29167137,3.58762838298653,"Control",-0.014415943710123
"Colorado",2020,2,1349567.54166791,3.49074785407017,"Control",-0.0253053295725061
"Connecticut",2020,2,792226.625001415,3.15061362649298,"Control",-0.0451079041419105
"Delaware",2020,2,210804.874998832,3.79023492698842,"Control",0.0201139016800962
"DC",2020,2,191679.166666259,3.73019150925734,"Control",0.141433315954371
"Florida",2020,2,4527904.33333247,3.69729543019715,"Control",-0.0332224634902891
"Georgia",2020,2,2537667.91666722,3.74438276087725,"Control",-0.0731018815840221
"Hawaii",2020,2,300109.541668214,4.29843047584992,"Control",0.0444533356807444
"Idaho",2020,2,410495.583332489,3.93426888272242,"Control",-0.0775243748369272
"Illinois",2020,2,2916286.58333246,3.57783767193312,"Control",0.0195912873619926
"Indiana",2020,2,1518228.4999994,4.12586115989949,"Control",0.0368795611157049
"Iowa",2020,2,688340.083333052,4.13167861187002,"Control",0.00812937116340517
"Kansas",2020,2,644159.666667146,4.14648749093472,"Control",-0.0316583970597843
"Kentucky",2020,2,988307.666666895,4.1151152997893,"Control",0.0281931944653264
"Louisiana",2020,2,1061436.12499937,4.16982227734396,"Control",-0.166988961227324
"Maine",2020,2,276232.49999999,3.05901731331408,"Control",-0.0441653414425511
"Maryland",2020,2,1401328.333334,3.76000390105876,"Control",-0.0573084221139175
"Massachusetts",2020,2,1618186.74999979,3.21532727912936,"Control",0.040145236361842
"Michigan",2020,2,2193027.91666597,3.77696970341925,"Control",0.0350379876666103
"Minnesota",2020,2,1253121.8333331,3.91821439016844,"Control",-0.0205782893226472
"Mississippi",2020,2,671886.374999694,3.99472306608572,"Control",-0.135466162399017
"Missouri",2020,2,1357070.25000083,4.01453056685656,"Control",0.0442902225921697
"Montana",2020,2,224611.124999054,3.92678679652984,"Control",0.0783260447945824
"Nebraska",2020,2,430952.208334172,4.23248788317061,"Control",-0.180986733990376
"Nevada",2020,2,699649.541667105,3.74330267373508,"Control",0.00823864951270181
"New Hampshire",2020,2,290764.791666861,2.94739949457805,"Control",-0.0654434651685656
"New Jersey",2020,2,2050230.20833392,3.68495204552635,"Control",-0.0532771850462872
"New Mexico",2020,2,459990.124999022,3.7435586253154,"Control",0.0125809034370854
"New York",2020,2,4630051.91666665,3.60535914077135,"Control",0.00817641079340614
"North Carolina",2020,2,2357023.12500029,3.87904552272854,"Control",-0.0135599348823372
"North Dakota",2020,2,168758.16666591,4.84717282820092,"Control",0.114725007978533
"Ohio",2020,2,2580797.54166752,3.93366772716334,"Control",0.0223792015305651
"Oklahoma",2020,2,884790.458332594,4.16369770413503,"Control",-0.0557751930592252
"Oregon",2020,2,959874.458333398,3.23375621994295,"Control",-0.0138210755928827
"Pennsylvania",2020,2,2805681.50000042,3.59021506895864,"Control",-0.0206788768834154
"Rhode Island",2020,2,247732.49999942,3.32213173484273,"Control",0.104047487308503
"South Carolina",2020,2,1124113.12499895,3.7976604890224,"Control",-0.0592589969933028
"South Dakota",2020,2,182609.499997825,4.7204553980503,"Control",0.0529329339763951
"Tennessee",2020,2,1560484.9166673,3.84880362241944,"Control",-0.112523202723062
"Texas",2020,2,6927305.00000345,4.10866852260523,"Control",-0.0673475737936826
"Utah",2020,2,804227.624999202,4.39054801183123,"Control",0.0121221685521471
"Vermont",2020,2,136260.083333137,2.77410662575219,"Control",-0.0545506424506019
"Virginia",2020,2,1953032.33333387,3.83454993149863,"Control",0.00663182370740723
"Washington",2020,2,1751494.999999,3.73509487609369,"Control",0.0289323102578964
"West Virginia",2020,2,370780.958332041,3.52229522755171,"Control",-0.104823095245797
"Wisconsin",2020,2,1267779.16666683,3.7758941981873,"Control",0.0152854651954075
"Wyoming",2020,2,122002.208333685,3.77042355448081,"Control",-0.0453929660605565
"Alabama",2020,3,1131280.33333441,4.22088129643856,"Control",-0.0259803098047362
"Alaska",2020,3,159982.666665556,4.85677615078339,"Control",-0.040973828143767
"Arizona",2020,3,1573723.33333421,4.05026720071282,"Control",0.00191077644644899
"Arkansas",2020,3,666364.000000578,4.42700986247372,"Control",0.000444460852658146
"California",2020,3,9246886.33333769,3.7764063211314,"Control",-0.0315916279892825
"Colorado",2020,3,1350395.66666782,3.9121867245295,"Control",0.0306457473272777
"Connecticut",2020,3,792685.000001313,3.60672902854888,"Control",0.000792873654911208
"Delaware",2020,3,210974.999998921,4.04787297075182,"Control",-0.0475936002625614
"DC",2020,3,191875.333332939,4.03386921369913,"Control",0.213877429003161
"Florida",2020,3,4533002.66666586,3.79307078869349,"Control",-0.0622488232414451
"Georgia",2020,3,2539373.66666713,3.95727502884169,"Control",-0.0556511702197957
"Hawaii",2020,3,299947.33333476,4.52079365041936,"Control",0.0806407539761995
"Idaho",2020,3,411414.999999219,4.53070500590289,"Control",0.0568963075705291
"Illinois",2020,3,2913926.99999918,3.81512645992955,"Control",-0.0309842069123989
"Indiana",2020,3,1518634.33333279,4.3170366006491,"Control",0.006572193074315
"Iowa",2020,3,688532.999999738,4.39920817157805,"Control",-0.0173533119320313
"Kansas",2020,3,644245.333333776,4.5976274048778,"Control",0.0908302516779314
"Kentucky",2020,3,988216.666666874,4.29561668325007,"Control",-0.0485436113759459
"Louisiana",2020,3,1060743.66666609,4.37428961002754,"Control",-0.140204011422115
"Maine",2020,3,276452.999999991,3.45085783116853,"Control",-0.0367290187687126
"Maryland",2020,3,1400914.00000061,4.09018683516441,"Control",-0.00548772631487804
"Massachusetts",2020,3,1617931.99999982,3.44081209840749,"Control",-0.0268343793255768
"Michigan",2020,3,2192335.33333268,4.00623019045563,"Control",-0.0163328646642515
"Minnesota",2020,3,1253184.33333311,4.30263917013614,"Control",0.0198604494668819
"Mississippi",2020,3,671705.333333051,4.31588057461886,"Control",-0.0778990109316462
"Missouri",2020,3,1357384.66666744,4.23756076022424,"Control",-0.0467585507168797
"Montana",2020,3,225097.333332467,4.13154605712897,"Control",0.0330071599776822
"Nebraska",2020,3,431056.666667442,5.01558186471101,"Control",0.253944075237243
"Nevada",2020,3,700240.000000407,4.02861875928019,"Control",0.00387418714327925
"New Hampshire",2020,3,290751.000000182,3.50127772561182,"Control",0.0257110563740226
"New Jersey",2020,3,2049801.66666722,3.98770287531775,"Control",-0.0174672018504238
"New Mexico",2020,3,460071.999999095,4.04501904050597,"Control",0.0546521773904414
"New York",2020,3,4623735.66666667,3.83802217067339,"Control",0.0191132431390737
"North Carolina",2020,3,2359391.33333362,4.14767989597266,"Control",0.00432266760131839
"North Dakota",2020,3,168842.666665967,4.97504580202958,"Control",-0.0536298871022662
"Ohio",2020,3,2580181.00000078,4.15242186497643,"Control",-0.0383637130524841
"Oklahoma",2020,3,885605.999999325,4.54603966098137,"Control",0.0239250817104946
"Oregon",2020,3,959899.666666723,3.50453293903266,"Control",-0.0177768306394048
"Pennsylvania",2020,3,2805743.00000039,3.85780165895398,"Control",-0.0380628805097336
"Rhode Island",2020,3,247664.999999458,3.49665879313546,"Control",-0.00269649108292436
"South Carolina",2020,3,1125407.33333237,4.15849431702419,"Control",0.0437848032031534
"South Dakota",2020,3,182876.999997992,4.9760221351509,"Control",-0.127813262737338
"Tennessee",2020,3,1561632.00000058,4.09315382881345,"Control",-0.114971498212331
"Texas",2020,3,6936217.66666985,4.36967255881283,"Control",-0.0218814589680445
"Utah",2020,3,805534.666665924,4.95943894821454,"Control",0.0848787042277372
"Vermont",2020,3,136309.333333148,3.41135847875884,"Control",0.0723792549768736
"Virginia",2020,3,1953120.00000049,4.03917834029553,"Control",-0.0210304111341744
"Washington",2020,3,1752267.33333241,4.01936386419179,"Control",0.00558015746290152
"West Virginia",2020,3,370618.66666547,3.78826035027341,"Control",-0.0996065862344131
"Wisconsin",2020,3,1267728.66666681,4.15151927883575,"Control",0.0587448839021354
"Wyoming",2020,3,122075.000000322,3.99754249435768,"Control",-0.128768797869667
"Alabama",2020,4,1131640.70833429,4.03573322023946,"Control",-0.0265252837818748
"Alaska",2020,4,159972.666665637,4.73830946123013,"Control",-0.0507037499719321
"Arizona",2020,4,1575807.25000081,3.78853441624726,"Control",-0.0606419966211198
"Arkansas",2020,4,666726.125000525,4.2821180885896,"Control",0.0257299861705897
"California",2020,4,9240863.37500402,3.65203970997843,"Control",-0.00722150341085959
