"State","Year","Population","Month","Births","BirthsPerThousandWomen"
"Alabama",2020,1130559.58333466,"Jan",4955,4.38278536844994
"Alaska",2020,160002.666665394,"Jan",818,5.11241479312743
"Arizona",2020,1569555.50000102,"Jan",6703,4.27063585836605
"Arkansas",2020,665639.750000683,"Jan",2956,4.44084055977271
"California",2020,9258932.25000504,"Jan",35954,3.88316914188247
"Colorado",2020,1348739.416668,"Jan",4984,3.69530239748812
"Connecticut",2020,791768.25000152,"Jan",2795,3.53007335163368
"Delaware",2020,210634.749998743,"Jan",830,3.94047041148222
"DC",2020,191482.999999579,"Jan",793,4.14135980740715
"Florida",2020,4522805.99999909,"Jan",18194,4.02272394615283
"Georgia",2020,2535962.1666673,"Jan",10652,4.2003781207819
"Hawaii",2020,300271.750001667,"Jan",1350,4.49592743903649
"Idaho",2020,409576.166665761,"Jan",1698,4.14574904058241
"Illinois",2020,2918646.16666573,"Jan",11121,3.81032827035168
"Indiana",2020,1517822.66666602,"Jan",6608,4.35360476893842
"Iowa",2020,688147.166666366,"Jan",3035,4.4103938038467
"Kansas",2020,644074.000000516,"Jan",2780,4.31627421693435
"Kentucky",2020,988398.666666917,"Jan",4309,4.35957690486455
"Louisiana",2020,1062128.58333264,"Jan",5020,4.72635806885901
"Maine",2020,276011.99999999,"Jan",881,3.19189020767224
"Maryland",2020,1401742.66666739,"Jan",5876,4.19192490870672
"Massachusetts",2020,1618441.49999976,"Jan",5480,3.38597348127863
"Michigan",2020,2193720.49999925,"Jan",8652,3.94398465985205
"Minnesota",2020,1253059.33333308,"Jan",5031,4.01497348622573
"Mississippi",2020,672067.416666337,"Jan",3111,4.62899989324215
"Missouri",2020,1356755.83333422,"Jan",5819,4.28890730154432
"Montana",2020,224124.916665643,"Jan",865,3.85945486503153
"Nebraska",2020,430847.750000902,"Jan",2050,4.75806128730092
"Nevada",2020,699059.083333806,"Jan",2761,3.94959462772849
"New Hampshire",2020,290778.58333354,"Jan",911,3.13296801145437
"New Jersey",2020,2050658.75000062,"Jan",8161,3.97969676817146
"New Mexico",2020,459908.24999895,"Jan",1816,3.94861366371259
"New York",2020,4636368.16666661,"Jan",17981,3.87825111242788
"North Carolina",2020,2354654.91666696,"Jan",9831,4.17513408457995
"North Dakota",2020,168673.666665853,"Jan",803,4.76067198794442
"Ohio",2020,2581414.08333425,"Jan",10661,4.12990696410467
"Oklahoma",2020,883974.916665866,"Jan",4065,4.5985467724946
"Oregon",2020,959849.250000073,"Jan",3239,3.37448823343848
"Pennsylvania",2020,2805620.00000046,"Jan",10875,3.87614858747735
"Rhode Island",2020,247799.999999382,"Jan",824,3.32526230832145
"South Carolina",2020,1122818.91666553,"Jan",4707,4.19212744827859
"South Dakota",2020,182341.999997659,"Jan",910,4.9906220180303
"Tennessee",2020,1559337.83333402,"Jan",6582,4.22102244895004
"Texas",2020,6918392.33333707,"Jan",31514,4.55510449272242
"Utah",2020,802920.583332483,"Jan",3682,4.58575863719676
"Vermont",2020,136210.833333125,"Jan",426,3.12750454259501
"Virginia",2020,1952944.66666725,"Jan",7894,4.04210120989824
"Washington",2020,1750722.6666656,"Jan",6825,3.89839015050785
"West Virginia",2020,370943.249998612,"Jan",1512,4.0760951978656
"Wisconsin",2020,1267829.66666684,"Jan",4925,3.88459122663375
"Wyoming",2020,121929.416667048,"Jan",497,4.07612874387119
"Alabama",2020,1130919.95833454,"Feb",4449,3.93396541215161
"Alaska",2020,159992.666665475,"Feb",717,4.48145540007254
"Arizona",2020,1571639.41666761,"Feb",6274,3.99200982964841
"Arkansas",2020,666001.87500063,"Feb",2760,4.14413247710059
"California",2020,9252909.29167137,"Feb",33196,3.58762838298653
"Colorado",2020,1349567.54166791,"Feb",4711,3.49074785407017
"Connecticut",2020,792226.625001415,"Feb",2496,3.15061362649298
"Delaware",2020,210804.874998832,"Feb",799,3.79023492698842
"DC",2020,191679.166666259,"Feb",715,3.73019150925734
"Florida",2020,4527904.33333247,"Feb",16741,3.69729543019715
"Georgia",2020,2537667.91666722,"Feb",9502,3.74438276087725
"Hawaii",2020,300109.541668214,"Feb",1290,4.29843047584992
"Idaho",2020,410495.583332489,"Feb",1615,3.93426888272242
"Illinois",2020,2916286.58333246,"Feb",10434,3.57783767193312
"Indiana",2020,1518228.4999994,"Feb",6264,4.12586115989949
